,number of player,name of player,total points,state of player,average point
0,1,GARY HUA,6.0,ON,1794
1,2,DAKSHESH DARURI,6.0,MI,1553
2,3,ADITYA BAJAJ,6.0,MI,1384
3,4,PATRICK H SCHILLING,5.5,MI,1716
4,5,HANSHI ZUO,5.5,MI,1655
5,6,HANSEN SONG,5.0,OH,1686
6,7,GARY DEE SWATHELL,5.0,MI,1649
7,8,EZEKIEL HOUGHTON,5.0,MI,1641
8,9,STEFANO LEE,5.0,ON,1411
9,10,ANVIT RAO,5.0,MI,1365
10,11,CAMERON WILLIAM MC LEMAN,4.5,MI,1712
11,12,KENNETH J TACK,4.5,MI,1663
12,13,TORRANCE HENRY JR,4.5,MI,1666
13,14,BRADLEY SHAW,4.5,MI,1610
14,15,ZACHARY JAMES HOUGHTON,4.5,MI,1220
15,16,MIKE NIKITIN,4.0,MI,1604
16,17,RONALD GRZEGORCZYK,4.0,MI,1629
17,18,DAVID SUNDEEN,4.0,MI,1600
18,19,DIPANKAR ROY,4.0,MI,1564
19,20,JASON ZHENG,4.0,MI,1595
20,21,DINH DANG BUI,4.0,ON,1563
21,22,EUGENE L MCCLURE,4.0,MI,1555
22,23,ALAN BUI,4.0,ON,1363
23,24,MICHAEL R ALDRICH,4.0,MI,1229
24,25,LOREN SCHWIEBERT,3.5,MI,1745
25,26,MAX ZHU,3.5,ON,1579
26,27,GAURAV GIDWANI,3.5,MI,1552
27,28,SOFIA ADINA STANESCU-BELLU,3.5,MI,1507
28,29,CHIEDOZIE OKORIE,3.5,MI,1602
29,30,GEORGE AVERY JONES,3.5,ON,1522
30,31,RISHI SHETTY,3.5,MI,1494
31,32,JOSHUA PHILIP MATHEWS,3.5,ON,1441
32,33,JADE GE,3.5,MI,1449
33,34,MICHAEL JEFFERY THOMAS,3.5,MI,1399
34,35,JOSHUA DAVID LEE,3.5,MI,1438
35,36,SIDDHARTH JHA,3.5,MI,1355
36,37,AMIYATOSH PWNANANDAM,3.5,MI,980
37,38,BRIAN LIU,3.0,MI,1423
38,39,JOEL R HENDON,3.0,MI,1436
39,40,FOREST ZHANG,3.0,MI,1348
40,41,KYLE WILLIAM MURPHY,3.0,MI,1403
41,42,JARED GE,3.0,MI,1332
42,43,ROBERT GLEN VASEY,3.0,MI,1283
43,44,JUSTIN D SCHILLING,3.0,MI,1199
44,45,DEREK YAN,3.0,MI,1242
45,46,JACOB ALEXANDER LAVALLEY,3.0,MI,377
46,47,ERIC WRIGHT,2.5,MI,1362
47,48,DANIEL KHAIN,2.5,MI,1382
48,49,MICHAEL J MARTIN,2.5,MI,1291
49,50,SHIVAM JHA,2.5,MI,1056
50,51,TEJAS AYYAGARI,2.5,MI,1011
51,52,ETHAN GUO,2.5,MI,935
52,53,JOSE C YBARRA,2.0,MI,1393
53,54,LARRY HODGE,2.0,MI,1270
54,55,ALEX KONG,2.0,MI,1186
55,56,MARISA RICCI,2.0,MI,1153
56,57,MICHAEL LU,2.0,MI,1092
57,58,VIRAJ MOHILE,2.0,MI,917
58,59,SEAN M MC CORMICK,2.0,MI,853
59,60,JULIA SHEN,1.5,MI,967
60,61,JEZZEL FARKAS,1.5,ON,955
61,62,ASHWIN BALAJI,1.0,MI,1530
62,63,THOMAS JOSEPH HOSMER,1.0,MI,1175
63,64,BEN LI,1.0,MI,1163
